schema_version,created_utc,C,repeat,fold,split_seed,model_seed,train_samples,test_samples,train_participants,test_participants,participant_overlap,train_nonibd_samples,train_ibd_samples,test_nonibd_samples,test_ibd_samples,test_nonibd_participants,test_ibd_participants,selected_total,selected_B,selected_K0,abs_coef_mass_total,abs_coef_mass_B,abs_coef_mass_K0,n_iter,convergence_warning,convergence_warning_messages,elapsed_seconds,sample_accuracy,sample_balanced_accuracy,sample_macro_f1,sample_positive_f1,sample_brier,sample_roc_auc,sample_log_loss,sample_tn,sample_fp,sample_fn,sample_tp,participant_accuracy,participant_balanced_accuracy,participant_macro_f1,participant_positive_f1,participant_brier,participant_roc_auc,participant_log_loss,participant_tn,participant_fp,participant_fn,participant_tp
1,2026-07-27T19:29:42.208104+00:00,0.02,14,1,13130,20274940,1042,275,84,22,0,252,790,107,168,7,15,150,61,89,3.7766230260021985,1.1959974145866,2.5806256114155985,2903,False,[],2686.2296001911163,0.5927272727272728,0.546200489541611,0.5426467094321692,0.6939890710382514,0.2591433266635359,0.5559635068980864,0.7378644549295396,36,71,41,127,0.5909090909090909,0.5476190476190476,0.5448275862068965,0.6896551724137931,0.2344261944381704,0.5904761904761905,0.6605481528078111,3,4,5,10
1,2026-07-27T20:40:00.854932+00:00,0.02,14,2,13130,20275037,1064,253,85,21,0,309,755,50,203,4,17,131,75,56,4.011126121418783,1.7594441556429956,2.251681965775788,4356,False,[],4218.535307645798,0.7984189723320159,0.7387192118226601,0.7130434782608696,0.8695652173913043,0.14648122190339402,0.837832512315271,0.46388883532661385,32,18,33,170,0.8095238095238095,0.7867647058823529,0.7375,0.875,0.14758294116908197,0.8823529411764706,0.46964671267006575,3,1,3,14
1,2026-07-27T22:06:12.863714+00:00,0.02,14,3,13130,20275134,1045,272,85,21,0,274,771,85,187,6,15,146,79,67,3.916929887054721,1.6982692533638328,2.218660633690888,5322,False,[],5171.917146205902,0.6397058823529411,0.5550802139037433,0.5561771561771562,0.7487179487179487,0.23367817010560993,0.5938030827304184,0.6609805214369572,28,57,41,146,0.6666666666666666,0.5666666666666667,0.5689149560117301,0.7741935483870968,0.22047269680777665,0.6222222222222222,0.6340833977416316,2,4,3,12
1,2026-07-27T23:27:44.787866+00:00,0.02,14,4,13130,20275231,1045,272,85,21,0,327,718,32,240,2,19,223,118,105,3.60011256220605,1.3172269078204408,2.282885654385609,4000,False,[],4891.807758331299,0.7830882352941176,0.8364583333333333,0.6787765968093837,0.8618266978922716,0.17174438257349528,0.9151041666666667,0.521362174714521,29,3,56,184,0.8095238095238095,0.8947368421052632,0.6911764705882353,0.8823529411764706,0.1620806945187915,0.9473684210526316,0.5073910059875698,2,0,4,15
1,2026-07-28T00:40:52.038165+00:00,0.02,14,5,13130,20275328,1072,245,85,21,0,274,798,85,160,7,14,149,77,72,3.8709322311915457,1.5371140949428082,2.3338181362487376,3431,False,[],4386.760233640671,0.6530612244897959,0.6295955882352942,0.62591388384918,0.7266881028938906,0.20300781065171764,0.7179411764705883,0.5887725695073739,47,38,47,113,0.7142857142857143,0.6785714285714286,0.6785714285714286,0.7857142857142857,0.18790496408729224,0.7755102040816326,0.5592961259389437,4,3,3,11
1,2026-07-28T02:19:29.095412+00:00,0.02,15,1,14139,20275949,1065,252,84,22,0,274,791,85,167,7,15,152,67,85,3.9218203537384397,1.4563506821577903,2.4654696715806494,4714,False,[],5916.959425449371,0.7738095238095238,0.7571327932370553,0.7518270875447053,0.8256880733944955,0.17730123042496176,0.8113420218386757,0.5463924381035788,60,25,32,135,0.8181818181818182,0.8285714285714285,0.8035714285714286,0.8571428571428571,0.18342153936368846,0.8,0.5516593179030194,6,1,3,12
1,2026-07-28T03:38:51.872371+00:00,0.02,15,2,14139,20276046,1056,261,85,21,0,308,748,51,210,4,17,165,88,77,3.867076820053626,1.9782976864953525,1.8887791335582733,3828,False,[],4762.6527597904205,0.5593869731800766,0.36246498599439775,0.37412682194465874,0.7146401985111662,0.2857115396582441,0.47348272642390293,0.8105044190578936,2,49,66,144,0.5714285714285714,0.35294117647058826,0.36363636363636365,0.7272727272727273,0.2714651074201792,0.5147058823529412,0.7640458958608816,0,4,5,12
1,2026-07-28T05:30:23.316819+00:00,0.02,15,3,14139,20276143,1047,270,85,21,0,283,764,76,194,6,15,110,56,54,3.8319520177901722,1.412353373831138,2.4195986439590342,5367,False,[],6691.350681066513,0.774074074074074,0.7307379272924579,0.7260980193244748,0.8407310704960835,0.1719549579795054,0.8294899620184484,0.5580604776667262,48,28,33,161,0.8571428571428571,0.8,0.81524926686217,0.9032258064516129,0.1602970343622957,0.9555555555555556,0.5048585689332002,4,2,1,14
1,2026-07-28T06:54:35.302615+00:00,0.02,15,4,14139,20276240,1018,299,85,21,0,279,739,80,219,5,16,145,66,79,3.79254037301871,1.2503048495855182,2.5422355234331917,4174,False,[],5051.483201265335,0.7424749163879598,0.6575913242009133,0.6618491591393112,0.8269662921348314,0.19764813032875247,0.6521689497716894,0.5867388269141264,38,42,35,184,0.8095238095238095,0.7375,0.7375,0.875,0.18863755728754003,0.7125,0.5629295830913323,3,2,2,14
1,2026-07-28T08:52:07.329016+00:00,0.02,15,5,14139,20276337,1082,235,85,21,0,292,790,67,168,4,17,153,84,69,4.150397981866263,1.6829309256281704,2.4674670562380925,5513,False,[],7051.8468997478485,0.7021276595744681,0.6256663113006397,0.6278280542986425,0.7941176470588235,0.19293723881906186,0.6713752665245203,0.567943073783441,30,37,33,135,0.8095238095238095,0.6911764705882353,0.6911764705882353,0.8823529411764706,0.16529296111950598,0.6911764705882353,0.5117205720087432,2,2,2,15
